date,startup,vertical,city,investors,round,amount_crore_rs,month,day,year
2017-11-21,Nuvepro,Tech,Mumbai,1Crowd,Seed/Angel Funding,3.3,11,21,2017
2017-11-21,RedBook,Tech,Mumbai,"Vida Ventures, Dr. Aniruddha Malpani",Seed/Angel Funding,2.0625,11,21,2017
2017-11-21,Portea,Healthcare,Bengaluru,"Sabre Partners, MEMG CDC",Private Equity,214.5,11,21,2017
2017-11-21,CreditMate,Tech,Mumbai,Paytm,Private Equity,0.0,11,21,2017
2017-11-21,Epiq Capital,Finance,Mumbai,Global Institutional Investors,Private Equity,1650.0,11,21,2017
2017-11-22,MiStay,Tech,Bengaluru,Axilor Ventures,Seed/Angel Funding,0.0,11,22,2017
2017-11-23,WittyFeed,Storytelling,Indore,Sandeep Aggarwal,Seed/Angel Funding,0.0,11,23,2017
2017-11-24,IDG Ventures,Finance,Bengaluru,Uniliver Ventures,Private Equity,82.5,11,24,2017
2017-11-24,TempGo,Tech,Goa,Javelin StartupO Victory Fund,Seed/Angel Funding,2.0625,11,24,2017
2017-11-27,Edelweiss,Finance,Mumbai,Undisclosed investors,Private Equity,2227.5,11,27,2017
2017-11-27,ERA,Tech,Mumbai,Amit Patni,Seed/Angel Funding,0.32175,11,27,2017
2017-11-27,Smaaash,Tech,Mumbai,Sixth Sense Ventures,Private Equity,31.35,11,27,2017
2017-11-28,Chumbak,Lifestyle,Bengaluru,Gaja Capital,Private Equity,107.25,11,28,2017
2017-11-28,FR8,Tech,Chennai,IFMR Capital,Debt Funding,12.375,11,28,2017
2017-11-28,Mobiefit,Healthcare,Goa,"NB Ventures, MediAssist",Seed/Angel Funding,11.1375,11,28,2017
2017-11-28,Stanza Living,Tech,Delhi,"Matrix PArtners, Accel",Private Equity,16.5,11,28,2017
2017-10-03,ChqBook,Consumer Internet,Gurugram,"Startup Buddy, Apurva Chamaria,Sachin Arora, Bharat Gupta, Amit Manocha",Seed Funding,0.0,10,3,2017
2017-10-03,HomeCapital,Consumer Internet,Mumbai,Venture Catalysts,Seed Funding,0.0,10,3,2017
2017-10-03,Ola,Consumer Internet,Bengaluru,"Tencent, Softbank Group",Private Equity,907.5,10,3,2017
2017-10-04,Elanic,Consumer Internet,Bengaluru,Digital Garage,Seed Funding,0.0,10,4,2017
2017-10-04,CollPoll,Consumer Internet,Bengaluru,Sprout Angels,Seed Funding,2.5245,10,4,2017
2017-10-04,PhonePe,Consumer Internet,Bengaluru,Flipkart,Private Equity,319.275,10,4,2017
2017-10-05,Little Black Book,Consumer Internet,New Delhi,"Blume Ventures, IDG Ventures & Indian Angel Network",Private Equity,8.25,10,5,2017
2017-10-05,Oorjan,Tech,Mumbai,Globevestor,Seed Funding,3.7125,10,5,2017
2017-10-05,Zefo,ECommerce,Bengaluru,"Sequoia India, Helion Venture Partners, Beenext",Private Equity,75.9,10,5,2017
2017-10-06,Yaantra,ECommerce,New Delhi,Carpediem Capital,Private Equity,25.575,10,6,2017
